country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2013,33.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2002,55.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2007,39.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2013,30.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2002,55.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2007,39.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2013,32.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Dominican Republic,DO,DOM,214,Exclusively Breastfed for the First Two Days After Birth,2014,36.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2000,41.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2005,46.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2008,51.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2014,36.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2000,41.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2005,46.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2008,50.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2014,37.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2000,41.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2005,46.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2008,50.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Egypt,EG,EGY,818,Exclusively Breastfed for the First Two Days After Birth,2014,37.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
El Salvador,SV,SLV,222,Exclusively Breastfed for the First Two Days After Birth,2014,70.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Swaziland,SZ,SWZ,748,Exclusively Breastfed for the First Two Days After Birth,2006,76.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Swaziland,SZ,SWZ,748,Exclusively Breastfed for the First Two Days After Birth,2006,75.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Swaziland,SZ,SWZ,748,Exclusively Breastfed for the First Two Days After Birth,2006,75.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Swaziland,SZ,SWZ,748,Exclusively Breastfed for the First Two Days After Birth,2010,74.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Swaziland,SZ,SWZ,748,Exclusively Breastfed for the First Two Days After Birth,2014,79.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2005,70.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2011,72.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2016,90.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2019,86.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2005,69.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2011,68.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2016,87.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2019,82.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2005,69.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2011,70.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2016,89.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ethiopia,ET,ETH,231,Exclusively Breastfed for the First Two Days After Birth,2019,84.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gabon,GA,GAB,266,Exclusively Breastfed for the First Two Days After Birth,2012,52.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gabon,GA,GAB,266,Exclusively Breastfed for the First Two Days After Birth,2012,49.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gabon,GA,GAB,266,Exclusively Breastfed for the First Two Days After Birth,2012,50.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2013,80.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2018,84.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2020,78.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2013,80.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2018,86.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2020,77.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2010,61.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2013,80.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2018,85.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Gambia,GM,GMB,270,Exclusively Breastfed for the First Two Days After Birth,2020,77.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Georgia,GE,GEO,268,Exclusively Breastfed for the First Two Days After Birth,2018,51.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2003,78.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2008,81.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2014,83.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2017,82.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2003,80.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2008,82.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2014,83.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2017,83.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2003,79.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2008,81.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2011,80.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2014,83.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Ghana,GH,GHA,288,Exclusively Breastfed for the First Two Days After Birth,2017,82.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guatemala,GT,GTM,320,Exclusively Breastfed for the First Two Days After Birth,2015,62.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guatemala,GT,GTM,320,Exclusively Breastfed for the First Two Days After Birth,2015,62.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guatemala,GT,GTM,320,Exclusively Breastfed for the First Two Days After Birth,2015,62.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2012,39.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2016,55.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2018,59.0,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2012,39.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2016,54.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2018,59.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2012,39.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2016,55.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea,GN,GIN,324,Exclusively Breastfed for the First Two Days After Birth,2018,59.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea-Bissau,GW,GNB,624,Exclusively Breastfed for the First Two Days After Birth,2014,78.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guinea-Bissau,GW,GNB,624,Exclusively Breastfed for the First Two Days After Birth,2019,84.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guyana,GY,GUY,328,Exclusively Breastfed for the First Two Days After Birth,2009,75.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guyana,GY,GUY,328,Exclusively Breastfed for the First Two Days After Birth,2009,75.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guyana,GY,GUY,328,Exclusively Breastfed for the First Two Days After Birth,2009,75.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Guyana,GY,GUY,328,Exclusively Breastfed for the First Two Days After Birth,2014,72.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2006,69.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2012,77.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2017,78.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2006,65.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2012,78.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2017,77.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2006,67.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2012,77.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Haiti,HT,HTI,332,Exclusively Breastfed for the First Two Days After Birth,2017,77.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Honduras,HN,HND,340,Exclusively Breastfed for the First Two Days After Birth,2006,67.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Honduras,HN,HND,340,Exclusively Breastfed for the First Two Days After Birth,2012,55.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Honduras,HN,HND,340,Exclusively Breastfed for the First Two Days After Birth,2006,64.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Honduras,HN,HND,340,Exclusively Breastfed for the First Two Days After Birth,2012,52.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Honduras,HN,HND,340,Exclusively Breastfed for the First Two Days After Birth,2006,65.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Honduras,HN,HND,340,Exclusively Breastfed for the First Two Days After Birth,2012,53.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
India,IN,IND,356,Exclusively Breastfed for the First Two Days After Birth,2006,41.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
India,IN,IND,356,Exclusively Breastfed for the First Two Days After Birth,2015,75.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
India,IN,IND,356,Exclusively Breastfed for the First Two Days After Birth,2006,40.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
India,IN,IND,356,Exclusively Breastfed for the First Two Days After Birth,2015,75.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
India,IN,IND,356,Exclusively Breastfed for the First Two Days After Birth,2006,41.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
India,IN,IND,356,Exclusively Breastfed for the First Two Days After Birth,2015,75.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2003,45.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2007,31.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2012,37.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2017,51.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2003,41.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2007,33.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2012,36.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2017,51.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2003,43.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2007,32.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2012,37.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Indonesia,ID,IDN,360,Exclusively Breastfed for the First Two Days After Birth,2017,51.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Iraq,IQ,IRQ,368,Exclusively Breastfed for the First Two Days After Birth,2018,44.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Iraq,IQ,IRQ,368,Exclusively Breastfed for the First Two Days After Birth,2018,42.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Iraq,IQ,IRQ,368,Exclusively Breastfed for the First Two Days After Birth,2011,46.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Iraq,IQ,IRQ,368,Exclusively Breastfed for the First Two Days After Birth,2018,43.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jamaica,JM,JAM,388,Exclusively Breastfed for the First Two Days After Birth,2011,73.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2002,40.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2007,38.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2012,28.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2017,51.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2002,39.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2007,38.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2012,32.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2017,53.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2002,39.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2007,38.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2012,30.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Jordan,JO,JOR,400,Exclusively Breastfed for the First Two Days After Birth,2017,52.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kazakhstan,KZ,KAZ,398,Exclusively Breastfed for the First Two Days After Birth,2010,85.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kazakhstan,KZ,KAZ,398,Exclusively Breastfed for the First Two Days After Birth,2015,83.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2003,35.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2008,58.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2014,83.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2003,33.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2008,54.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2014,83.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2003,34.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2008,56.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kenya,KE,KEN,404,Exclusively Breastfed for the First Two Days After Birth,2014,83.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kiribati,KI,KIR,296,Exclusively Breastfed for the First Two Days After Birth,2018,69.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kiribati,KI,KIR,296,Exclusively Breastfed for the First Two Days After Birth,2018,67.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kiribati,KI,KIR,296,Exclusively Breastfed for the First Two Days After Birth,2018,68.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2012,86.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2018,86.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2012,83.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2018,87.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2012,85.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2014,88.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Kyrgyzstan,KG,KGZ,417,Exclusively Breastfed for the First Two Days After Birth,2018,86.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lao People's Democratic Republic,LA,LAO,418,Exclusively Breastfed for the First Two Days After Birth,2017,72.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lao People's Democratic Republic,LA,LAO,418,Exclusively Breastfed for the First Two Days After Birth,2017,73.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lao People's Democratic Republic,LA,LAO,418,Exclusively Breastfed for the First Two Days After Birth,2011,62.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lao People's Democratic Republic,LA,LAO,418,Exclusively Breastfed for the First Two Days After Birth,2017,72.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2004,55.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2009,68.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2014,82.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2018,84.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2004,52.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2009,63.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2014,83.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2018,82.0,Male,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2004,53.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2009,66.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2014,83.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Lesotho,LS,LSO,426,Exclusively Breastfed for the First Two Days After Birth,2018,83.0,Total,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Liberia,LR,LBR,430,Exclusively Breastfed for the First Two Days After Birth,2007,72.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Liberia,LR,LBR,430,Exclusively Breastfed for the First Two Days After Birth,2013,87.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
Liberia,LR,LBR,430,Exclusively Breastfed for the First Two Days After Birth,2019,86.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,Under 24 months old
